skl-a-43.rc.rit.edu
Processing 126...
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.5908, Parameters: {'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 270}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.5909, Parameters: {'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 300}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6389, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 140}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6404, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6411, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 160}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6396, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 170}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6400, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 180}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6407, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6410, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 230}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6408, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 255}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6408, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 270}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6410, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6405, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 140}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6407, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 150}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6408, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 160}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6389, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 170}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6394, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 180}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6402, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 200}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6409, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 230}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6401, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 255}
